timestamp,gaze_x,gaze_y,pupil_dilation,blink_rate,tracking_ready,blink_detected,head_yaw,head_pitch,raw_feature_vector,session_name
2026-04-21T13:29:54.323,0.3498936017757649,0.0,5.776562393645849,0.0,True,False,7.454687394246243,3.4923194507248696,"[0.5158418966490914, 0.42524127046183474, 0.4781840141563755, 0.3804387716826002, 7.454687394246243, 3.4923194507248696]",session_20260421_132756
2026-04-21T13:29:54.422,0.5459372575667876,0.0,5.757754236347207,0.0,True,False,7.525668695642162,3.1768061249091217,"[0.5205482579919614, 0.43541782012802205, 0.47438820120656755, 0.4004910969688685, 7.525668695642162, 3.1768061249091217]",session_20260421_132756
2026-04-21T13:29:54.523,0.45737310934853015,0.0,5.781813193494989,0.0,True,False,7.489639997737382,3.330362343524736,"[0.5217343752309326, 0.4487174323901393, 0.4782644119223935, 0.40522660531629984, 7.489639997737382, 3.330362343524736]",session_20260421_132756
2026-04-21T13:29:54.622,0.5165582533432447,0.0,5.788532261712279,0.0,True,False,7.602697365846179,3.2086740872458352,"[0.5190784575195292, 0.4519230860896217, 0.4782951763190568, 0.38479545556379785, 7.602697365846179, 3.2086740872458352]",session_20260421_132756
2026-04-21T13:29:54.722,0.3197493114390869,0.0,5.8572837266441535,0.0,True,False,7.917989738202085,3.3198552159289334,"[0.545667852229321, 0.4482524341868013, 0.49278278797092934, 0.38053127597914677, 7.917989738202085, 3.3198552159289334]",session_20260421_132756
2026-04-21T13:29:54.822,0.18705264480312922,0.0,5.784329939443973,0.0,True,False,7.342087393478178,3.2469381510869995,"[0.5490559016979182, 0.43710997890069714, 0.501348195008355, 0.3400915015140633, 7.342087393478178, 3.2469381510869995]",session_20260421_132756
2026-04-21T13:29:54.922,0.418324677522843,0.0,5.8868029572726535,0.0,True,False,7.533394137075535,3.161428984439152,"[0.5181012610132856, 0.467430307400299, 0.4938466253964863, 0.3453357527650311, 7.533394137075535, 3.161428984439152]",session_20260421_132756
2026-04-21T13:29:55.022,0.43775567106502206,0.0,5.874367631680682,0.0,True,False,8.03522838138616,3.2517170662137693,"[0.5074899158888693, 0.4673130870251849, 0.4987398468322117, 0.3496338926412694, 8.03522838138616, 3.2517170662137693]",session_20260421_132756
2026-04-21T13:29:55.122,0.32649315222304864,0.0,5.784422307969029,0.0,True,False,8.069359999971374,3.1179806018931924,"[0.5349551414398713, 0.47285196475263125, 0.5051530546698901, 0.2855964004339398, 8.069359999971374, 3.1179806018931924]",session_20260421_132756
2026-04-21T13:29:55.222,0.3081265379687752,0.0,5.79605761088143,0.0,True,False,8.075842147230022,3.031415117340659,"[0.5472163284629123, 0.43660927257518856, 0.5119732981944337, 0.3316887893810971, 8.075842147230022, 3.031415117340659]",session_20260421_132756
2026-04-21T13:29:55.323,0.19312692667970188,0.0,5.8836212887522805,0.0,True,False,7.700713525070919,3.22469231835191,"[0.5514415349945493, 0.4328247153284321, 0.5057358716680873, 0.35162937143834344, 7.700713525070919, 3.22469231835191]",session_20260421_132756
2026-04-21T13:29:55.422,0.2311311407835818,0.0,5.844383748818631,0.0,True,False,7.906645230214877,3.1960232943208036,"[0.5527353994061138, 0.42474880201583526, 0.5059797268917368, 0.36184570920522996, 7.906645230214877, 3.1960232943208036]",session_20260421_132756
2026-04-21T13:29:55.523,0.33187109827392963,0.0,5.874038906425891,0.0,True,False,7.913517733933821,2.987780225491137,"[0.5547895171143279, 0.42918224049234277, 0.507690841070212, 0.3591261114829334, 7.913517733933821, 2.987780225491137]",session_20260421_132756
2026-04-21T13:29:55.622,0.26019301903358705,0.0,5.904595783066832,0.0,True,False,7.660085409703539,3.086851996037406,"[0.5511350291870748, 0.4295496020920738, 0.5064994072577483, 0.3559600123462774, 7.660085409703539, 3.086851996037406]",session_20260421_132756
2026-04-21T13:29:55.723,0.30671472216999407,0.0,5.867949687546162,0.0,True,False,7.850811135606655,3.1074285594932824,"[0.5499332600627579, 0.4369781811801416, 0.5015615698760988, 0.34936497862872085, 7.850811135606655, 3.1074285594932824]",session_20260421_132756
2026-04-21T13:29:55.822,0.15381719326478274,0.0,5.7903158748938015,0.0,True,False,7.370490584524798,3.3325318543167803,"[0.5431807156178915, 0.42517176378977156, 0.5018877448483121, 0.3458870193522308, 7.370490584524798, 3.3325318543167803]",session_20260421_132756
2026-04-21T13:29:55.922,0.19884082742025744,0.0,5.858417661283371,0.0,True,False,7.677010679791687,3.350629744719865,"[0.5501830622794015, 0.43522625870491155, 0.5007472857579944, 0.3822279109642498, 7.677010679791687, 3.350629744719865]",session_20260421_132756
2026-04-21T13:29:56.022,0.3564267143584458,0.0,5.778831672489954,0.0,True,False,8.010559333527718,3.1136725194538744,"[0.5316999865085906, 0.4706751302057028, 0.48162756068946844, 0.19256068712322263, 8.010559333527718, 3.1136725194538744]",session_20260421_132756
2026-04-21T13:29:56.118,0.22589026298758866,0.02532391369516496,5.8144530886688575,0.0,True,False,7.939121712183759,3.3167315928836216,"[0.5111135114070535, 0.4123337970670741, 0.5030129091425406, 0.2911705847689072, 7.939121712183759, 3.3167315928836216]",session_20260421_132756
2026-04-21T13:29:56.218,0.28749970448429496,0.0,5.860579042265089,0.0,True,False,7.515536712404151,3.21232927386064,"[0.5211560871291185, 0.4127622355525558, 0.49692367483436156, 0.33079768645492347, 7.515536712404151, 3.21232927386064]",session_20260421_132756
2026-04-21T13:29:56.319,0.27143984531489906,0.0,5.845738723422208,0.0,True,False,7.703894524543032,3.3641806902811457,"[0.5166303070629458, 0.3989280704776435, 0.4957809669648359, 0.364936698462897, 7.703894524543032, 3.3641806902811457]",session_20260421_132756
2026-04-21T13:29:56.418,0.3158025304058776,0.0,5.828214309271932,0.0,True,False,7.730800062216647,3.3744648556657038,"[0.5097809767211068, 0.40391515327910393, 0.49368222842672554, 0.3724634650334852, 7.730800062216647, 3.3744648556657038]",session_20260421_132756
2026-04-21T13:29:56.518,0.36237991674646874,0.0,5.831806350041471,1.0,True,True,7.4640972017173315,3.3565159737890244,"[0.5059029154858662, 0.42846293890701886, 0.49296793873312567, 0.3896952897913772, 7.4640972017173315, 3.3565159737890244]",session_20260421_132756
2026-04-21T13:29:56.618,0.4222386883269534,0.0,5.81676609307088,1.0,True,False,7.90884629903437,3.3932456016478314,"[0.5094983232886245, 0.4236071037177827, 0.48809737585041885, 0.40775407761228183, 7.90884629903437, 3.3932456016478314]",session_20260421_132756
2026-04-21T13:29:56.718,0.36341744265520975,0.0,5.781735811889783,1.0,True,False,7.914317626145107,3.4069465178306353,"[0.5123417078548834, 0.42929202576516967, 0.4940897848219228, 0.39394237691550477, 7.914317626145107, 3.4069465178306353]",session_20260421_132756
2026-04-21T13:29:56.818,0.37417757670577445,0.0,5.826176637792245,1.0,True,False,7.724024617467027,3.475078121005733,"[0.511466459486252, 0.43280068151896117, 0.48810476100357497, 0.4171557920474314, 7.724024617467027, 3.475078121005733]",session_20260421_132756
2026-04-21T13:29:56.919,0.22517230069238398,0.0322157989353299,5.79491406956573,1.0,True,False,7.752352253434607,3.6355102148519136,"[0.5213228705237886, 0.42902932420712125, 0.49279475321930866, 0.3927869257681777, 7.752352253434607, 3.6355102148519136]",session_20260421_132756
2026-04-21T13:29:57.018,0.6602856434764564,0.0,5.726070765668613,1.0,True,False,6.784163816307946,3.329936741253309,"[0.46181517262533, 0.4356648281321483, 0.4697691088982335, 0.3830220199714262, 6.784163816307946, 3.329936741253309]",session_20260421_132756
2026-04-21T13:29:57.119,1.0,0.0,5.8011601957113985,1.0,True,False,2.9560341301002224,3.737365870951214,"[0.4419851151915188, 0.4588033742863854, 0.44417059663145875, 0.39109055059843506, 2.9560341301002224, 3.737365870951214]",session_20260421_132756
2026-04-21T13:29:57.218,1.0,0.0,5.810812311817923,1.0,True,False,1.9252189179584656,4.402481788464926,"[0.46414017657785356, 0.3995357447493999, 0.4563461864823102, 0.40453051053314903, 1.9252189179584656, 4.402481788464926]",session_20260421_132756
2026-04-21T13:29:57.318,1.0,0.0,5.797892711342234,1.0,True,False,0.9381069096470009,4.04709380836756,"[0.4602689237100079, 0.39616543021221007, 0.46999726264884345, 0.3985684500489384, 0.9381069096470009, 4.04709380836756]",session_20260421_132756
2026-04-21T13:29:57.418,1.0,0.0,5.797294715183284,1.0,True,False,1.1403941196412977,4.114349524926902,"[0.4572862932051759, 0.39287096429335044, 0.4612131387451125, 0.41028553516925176, 1.1403941196412977, 4.114349524926902]",session_20260421_132756
2026-04-21T13:29:57.518,1.0,0.0,5.892786102901198,1.0,True,False,0.7573014045460832,4.002010317042464,"[0.46157896054789715, 0.38442484702150254, 0.4577052523321997, 0.3890201429428174, 0.7573014045460832, 4.002010317042464]",session_20260421_132756
